[2024-10-19 18:21:11,661][training.py][line:108][INFO] start training!
[2024-10-19 18:22:00,023][distributed.py][line:1027][INFO] Reducer buckets have been rebuilt in this iteration.
[2024-10-19 18:22:59,127][training.py][line:148][INFO] Epoch:[1/200]	 Best Acc=9.091	Loss: 2.397, Acc@1: 9.091, Acc@5: 45.455, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:23:54,946][training.py][line:148][INFO] Epoch:[2/200]	 Best Acc=9.091	Loss: 2.399, Acc@1: 9.091, Acc@5: 45.455, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:24:49,998][training.py][line:148][INFO] Epoch:[3/200]	 Best Acc=27.936	Loss: 2.713, Acc@1: 27.936, Acc@5: 73.958, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:25:44,686][training.py][line:148][INFO] Epoch:[4/200]	 Best Acc=48.958	Loss: 1.594, Acc@1: 48.958, Acc@5: 90.341, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:26:39,575][training.py][line:148][INFO] Epoch:[5/200]	 Best Acc=55.208	Loss: 1.289, Acc@1: 55.208, Acc@5: 98.011, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:27:34,965][training.py][line:148][INFO] Epoch:[6/200]	 Best Acc=62.311	Loss: 1.125, Acc@1: 62.311, Acc@5: 98.390, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:28:30,012][training.py][line:148][INFO] Epoch:[7/200]	 Best Acc=66.951	Loss: 1.125, Acc@1: 66.951, Acc@5: 99.242, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:29:24,902][training.py][line:148][INFO] Epoch:[8/200]	 Best Acc=66.951	Loss: 1.299, Acc@1: 64.962, Acc@5: 97.822, cs_loss: 0.000, lr: 0.100
[2024-10-19 18:30:18,992][training.py][line:148][INFO] Epoch:[9/200]	 Best Acc=85.227	Loss: 0.692, Acc@1: 85.227, Acc@5: 99.905, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:31:14,404][training.py][line:148][INFO] Epoch:[10/200]	 Best Acc=85.227	Loss: 0.650, Acc@1: 85.227, Acc@5: 99.716, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:32:10,026][training.py][line:148][INFO] Epoch:[11/200]	 Best Acc=85.227	Loss: 0.621, Acc@1: 85.038, Acc@5: 99.905, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:33:04,787][training.py][line:148][INFO] Epoch:[12/200]	 Best Acc=85.227	Loss: 0.689, Acc@1: 84.848, Acc@5: 99.242, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:33:59,975][training.py][line:148][INFO] Epoch:[13/200]	 Best Acc=85.511	Loss: 0.667, Acc@1: 85.511, Acc@5: 99.148, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:34:55,240][training.py][line:148][INFO] Epoch:[14/200]	 Best Acc=85.511	Loss: 0.676, Acc@1: 85.133, Acc@5: 99.811, cs_loss: 0.000, lr: 0.099
[2024-10-19 18:35:50,155][training.py][line:148][INFO] Epoch:[15/200]	 Best Acc=85.511	Loss: 0.672, Acc@1: 85.038, Acc@5: 99.905, cs_loss: 0.000, lr: 0.098
[2024-10-19 18:36:44,928][training.py][line:148][INFO] Epoch:[16/200]	 Best Acc=85.511	Loss: 0.930, Acc@1: 78.788, Acc@5: 99.337, cs_loss: 0.000, lr: 0.098
[2024-10-19 18:37:40,092][training.py][line:148][INFO] Epoch:[17/200]	 Best Acc=89.678	Loss: 0.451, Acc@1: 89.678, Acc@5: 99.905, cs_loss: 0.000, lr: 0.098
[2024-10-19 18:38:35,792][training.py][line:148][INFO] Epoch:[18/200]	 Best Acc=89.678	Loss: 0.581, Acc@1: 86.837, Acc@5: 99.527, cs_loss: 0.000, lr: 0.098
[2024-10-19 18:39:30,781][training.py][line:148][INFO] Epoch:[19/200]	 Best Acc=92.235	Loss: 0.372, Acc@1: 92.235, Acc@5: 100.000, cs_loss: 0.000, lr: 0.098
